지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C)
105,강릉,1911-10-04,,12.2,26.2
105,강릉,1911-10-09,,6,16.6
105,강릉,1911-10-16,,9.2,15.5
105,강릉,1911-11-01,,6,14.8
105,강릉,1911-11-04,,10.2,19.5
105,강릉,1911-11-15,,8.4,10.7
105,강릉,1911-11-26,,-1.3,6.8
105,강릉,1911-12-02,,3.4,15.1
105,강릉,1911-12-15,,-5.6,3.3
105,강릉,1911-12-19,,.7,7.8
105,강릉,1911-12-26,,-2.1,4.2
105,강릉,1912-01-01,4.9,.5,8.5
105,강릉,1912-01-02,-3.8,-7.5,-.4
105,강릉,1912-01-03,-1,-7.7,5.7
105,강릉,1912-01-04,3.9,.5,8.2
105,강릉,1912-01-05,3.9,.5,9.3
105,강릉,1912-01-06,1.9,-.7,7.3
105,강릉,1912-01-07,.2,-4,3.8
105,강릉,1912-01-08,.2,-4.1,5.7
105,강릉,1912-01-09,.4,-1.8,4.6
105,강릉,1912-01-10,-1.5,-6.6,3.2
105,강릉,1912-01-11,-4.4,-6.5,-1.1
105,강릉,1912-01-12,-5,-7.8,-1
105,강릉,1912-01-13,-3.4,-7.6,3
105,강릉,1912-01-14,-3,-5.6,.5
105,강릉,1912-01-15,-4.9,-6.8,-2
105,강릉,1912-01-16,-5.2,-9.2,-.8
105,강릉,1912-01-17,-2.1,-6,1.3
105,강릉,1912-01-18,.9,-2,4.3
105,강릉,1912-01-19,-.8,-3.2,3.4
105,강릉,1912-01-20,.1,-4,6
105,강릉,1912-01-21,2.1,-5.3,5.2
105,강릉,1912-01-22,.2,-2.8,3.7
105,강릉,1912-01-23,-.7,-4.4,4.9
105,강릉,1912-01-24,-2,-4.1,.2
105,강릉,1912-01-25,-.2,-1.8,2
105,강릉,1912-01-26,.9,-1.1,2.8
105,강릉,1912-01-27,-.1,-2.1,2.7
105,강릉,1912-01-28,-1.9,-3.9,1.2
105,강릉,1912-01-29,-3.1,-5.6,1.5
105,강릉,1912-01-30,-2.3,-6.4,3.2
105,강릉,1912-01-31,-.9,-4.4,3.4
105,강릉,1912-02-01,.1,-4.2,4.6
105,강릉,1912-02-02,.2,-3.3,2.5
105,강릉,1912-02-03,-1.1,-3.6,2.9
105,강릉,1912-02-04,1.4,-3.9,6.7
105,강릉,1912-02-05,3.6,1.7,5.5
105,강릉,1912-02-06,-1.4,-3.5,4
105,강릉,1912-02-07,1.5,-3.1,5
105,강릉,1912-02-08,2.7,-2,7
105,강릉,1912-02-09,3.5,-4,9.5
105,강릉,1912-02-10,1.3,-1.4,5
105,강릉,1912-02-11,1.2,-2.5,7.7
105,강릉,1912-02-12,1.3,-4,6
105,강릉,1912-02-13,4.5,1.6,10
105,강릉,1912-02-14,2.9,1.7,5.4
105,강릉,1912-02-15,3.8,1.8,7.6
105,강릉,1912-02-16,1.7,-2,6.2
105,강릉,1912-02-17,-2.6,-4.3,.2
105,강릉,1912-02-18,-1,-5.1,4.5
105,강릉,1912-02-19,.8,-3.1,5.5
105,강릉,1912-02-20,3.6,-.5,10.5
105,강릉,1912-02-21,3.1,-1.5,7.3
105,강릉,1912-02-22,5.9,2,10.5
105,강릉,1912-02-23,7,3.6,10.8
105,강릉,1912-02-24,9.9,5.8,13.3
105,강릉,1912-02-25,6.4,2.7,12.3
105,강릉,1912-02-26,6.7,1.5,12.5
105,강릉,1912-02-27,7.4,4.6,11
105,강릉,1912-02-28,3.9,.7,7
105,강릉,1912-02-29,.9,.4,1.6
105,강릉,1912-03-01,2.2,.2,5.7
105,강릉,1912-03-02,4.4,-.2,8.4
105,강릉,1912-03-03,3.5,2.5,5.7
105,강릉,1912-03-04,3.1,1.5,8.7
105,강릉,1912-03-05,7.2,.6,13.3
105,강릉,1912-03-06,4.1,2.6,5.3
105,강릉,1912-03-07,7.8,2.1,12.7
105,강릉,1912-03-08,5.9,2.5,9.5
105,강릉,1912-03-09,6.6,1.7,11.5
105,강릉,1912-03-10,10.2,5.1,15.7
105,강릉,1912-03-11,8.2,2.4,13.9
105,강릉,1912-03-12,1.6,-.9,4.8
105,강릉,1912-03-13,.7,-2.1,5.9
105,강릉,1912-03-14,1.3,-2.1,6.9
105,강릉,1912-03-15,4.9,-.5,9.9
105,강릉,1912-03-16,4.6,-.7,10.7
105,강릉,1912-03-17,4.2,.6,9.3
105,강릉,1912-03-18,1.4,-2,6.9
105,강릉,1912-03-19,6.8,.2,12.5
105,강릉,1912-03-20,13.9,7.2,19.4
105,강릉,1912-03-21,8.5,2.5,15
105,강릉,1912-03-22,4.2,-1.1,10.1
105,강릉,1912-03-23,6.4,1,12.6
105,강릉,1912-03-24,5.5,1.6,11.8
105,강릉,1912-03-25,9.2,3.1,16.4
105,강릉,1912-03-26,9.9,4.5,16.5
105,강릉,1912-03-27,8.5,5.4,11.6
105,강릉,1912-03-28,6.3,4.9,7
105,강릉,1912-03-29,7.9,3.8,13.1
105,강릉,1912-03-30,3.6,1.3,6.2
105,강릉,1912-03-31,6.8,.7,13.5
105,강릉,1912-04-01,4.8,2.1,9.9
105,강릉,1912-04-02,8.1,1.1,14.9
105,강릉,1912-04-03,8.9,4.6,12.8
105,강릉,1912-04-04,6.7,3.3,12.1
105,강릉,1912-04-05,6.3,2.1,12.9
105,강릉,1912-04-06,10.6,2.7,18.4
105,강릉,1912-04-07,10.5,6.2,17.6
105,강릉,1912-04-08,9.6,3.5,19.2
105,강릉,1912-04-09,10.2,4.7,18
105,강릉,1912-04-10,8.3,4.2,13.8
105,강릉,1912-04-11,6.9,3.5,13
105,강릉,1912-04-12,11.2,4,17.9
105,강릉,1912-04-13,15.8,12.2,20.8
105,강릉,1912-04-14,14.5,11.8,23.4
105,강릉,1912-04-15,11.4,5.8,17.8
105,강릉,1912-04-16,8.4,4,16.8
105,강릉,1912-04-17,8.4,2.8,14.7
105,강릉,1912-04-18,9.7,5.8,13.7
105,강릉,1912-04-19,14.8,8.7,20.1
105,강릉,1912-04-20,20.1,15.3,24.5
105,강릉,1912-04-21,17.2,11.7,24.5
105,강릉,1912-04-22,16.3,11.9,23
105,강릉,1912-04-23,14.6,11.4,19.2
105,강릉,1912-04-24,18.1,11.4,22.2
105,강릉,1912-04-25,16,10.1,21.7
105,강릉,1912-04-26,8.5,4.1,12.5
105,강릉,1912-04-27,17.2,10.9,23.5
105,강릉,1912-04-28,20.6,14.3,28.8
105,강릉,1912-04-29,12.8,10.3,20.7
105,강릉,1912-04-30,16.5,9.9,23.7
105,강릉,1912-05-01,12.6,10.5,15.4
105,강릉,1912-05-02,12.5,9.1,17.6
105,강릉,1912-05-03,19.5,10.2,28.9
105,강릉,1912-05-04,14.1,11.3,18
105,강릉,1912-05-05,14,9.5,23.1
105,강릉,1912-05-06,14.5,8.3,21.2
105,강릉,1912-05-07,13.5,10.2,18.7
105,강릉,1912-05-08,9.6,6.2,13.7
105,강릉,1912-05-09,9.3,5.2,15.7
105,강릉,1912-05-10,10.7,3.7,18.5
105,강릉,1912-05-11,10.8,9.5,12.1
105,강릉,1912-05-12,13.5,9.8,19.1
105,강릉,1912-05-13,11.6,9.9,14.3
105,강릉,1912-05-14,13.9,9.6,21.2
105,강릉,1912-05-15,16.4,8.2,24.3
105,강릉,1912-05-16,21.8,15.7,28.4
105,강릉,1912-05-17,21.8,17.2,29
105,강릉,1912-05-18,21.7,16.3,27.8
105,강릉,1912-05-19,21.9,18.7,28.3
105,강릉,1912-05-20,15.5,11.5,23.5
105,강릉,1912-05-21,10.9,10.1,13.9
105,강릉,1912-05-22,11.5,8.6,15
105,강릉,1912-05-23,12.6,7.4,20.5
105,강릉,1912-05-24,13,6.1,20
105,강릉,1912-05-25,14.7,9.6,21.1
105,강릉,1912-05-26,19.3,12.1,27
105,강릉,1912-05-27,16,12.2,19.9
105,강릉,1912-05-28,18,9.3,23.8
105,강릉,1912-05-29,19.4,15.8,27.7
105,강릉,1912-05-30,18.8,13.9,26.2
105,강릉,1912-05-31,13.8,11.7,17.2
105,강릉,1912-06-01,16.6,9.2,24.3
105,강릉,1912-06-02,23.4,15.4,28.5
105,강릉,1912-06-03,21.1,16.7,28.5
105,강릉,1912-06-04,21,16.6,26
105,강릉,1912-06-05,17.2,13.9,22.1
105,강릉,1912-06-06,17.5,13.7,24.8
105,강릉,1912-06-07,16.2,15.4,18.7
105,강릉,1912-06-08,15.1,13.5,18.4
105,강릉,1912-06-09,14.4,13.1,18
105,강릉,1912-06-10,15.7,12.5,19.7
105,강릉,1912-06-11,16.9,11.8,22.9
105,강릉,1912-06-12,19.4,15.7,26.8
105,강릉,1912-06-13,19,14.7,24.7
105,강릉,1912-06-14,19,16.4,25.4
105,강릉,1912-06-15,18,17,19.7
105,강릉,1912-06-16,16.9,13.8,19.2
105,강릉,1912-06-17,22.5,13,28
105,강릉,1912-06-18,21,17.8,24.3
105,강릉,1912-06-19,18.7,17.2,22.2
105,강릉,1912-06-20,17.3,16.1,19.8
105,강릉,1912-06-21,16.7,15.9,17.8
105,강릉,1912-06-22,19.5,13.4,26.2
105,강릉,1912-06-23,22.7,20.3,27.8
105,강릉,1912-06-24,20.7,18.7,29.4
105,강릉,1912-06-25,19.7,17.4,23.8
105,강릉,1912-06-26,19.6,17,24
105,강릉,1912-06-27,20.7,14.7,28.3
105,강릉,1912-06-28,22.7,18.9,30.4
105,강릉,1912-06-29,19.7,18.4,22
105,강릉,1912-06-30,19.6,16.8,24
105,강릉,1912-07-01,20.7,16.7,25.5
105,강릉,1912-07-02,20.6,18.5,23
105,강릉,1912-07-03,20.5,15.3,27
105,강릉,1912-07-04,26.3,18.3,32.5
105,강릉,1912-07-05,25,21.3,32.2
105,강릉,1912-07-06,22.3,20,25.4
105,강릉,1912-07-07,20,19.2,20.9
105,강릉,1912-07-08,20.6,17.9,24.7
105,강릉,1912-07-09,21.6,16.7,26.8
105,강릉,1912-07-10,21.1,19.9,22.8
105,강릉,1912-07-11,21.6,18.7,24.5
105,강릉,1912-07-12,24.4,20.7,29.1
105,강릉,1912-07-13,22.6,19.5,28.4
105,강릉,1912-07-14,19.6,18.5,21.8
105,강릉,1912-07-15,20.6,18.5,23.3
105,강릉,1912-07-16,21.5,19.3,24.1
105,강릉,1912-07-17,22.3,20.9,24.4
105,강릉,1912-07-18,23,21,28.1
105,강릉,1912-07-19,26.5,22.7,30.5
105,강릉,1912-07-20,26.9,23.2,33.1
105,강릉,1912-07-21,27,22,32.6
105,강릉,1912-07-22,22,19,25
105,강릉,1912-07-23,19.3,17,23.5
105,강릉,1912-07-24,19.3,16,24.4
105,강릉,1912-07-25,20.5,14.2,26.1
105,강릉,1912-07-26,26.9,20.5,32.9
105,강릉,1912-07-27,27.9,24.7,33
105,강릉,1912-07-28,26.8,23.7,32.5
105,강릉,1912-07-29,24.7,23,28
105,강릉,1912-07-30,25.3,23.3,28.2
105,강릉,1912-07-31,29.9,23.3,35.9
105,강릉,1912-08-01,25.4,23.6,30.6
105,강릉,1912-08-02,29.8,22.6,36.3
105,강릉,1912-08-03,27.4,24.6,31.5
105,강릉,1912-08-04,27.4,24.2,33.7
105,강릉,1912-08-05,25,22.3,28.2
105,강릉,1912-08-06,23.1,19,28.5
105,강릉,1912-08-07,22.8,18.7,27.5
105,강릉,1912-08-08,23.8,21.1,28.7
105,강릉,1912-08-09,25.4,20.7,31.2
105,강릉,1912-08-10,25.6,22.7,31.7
105,강릉,1912-08-11,28.4,24.8,33.4
105,강릉,1912-08-12,29.5,26,34.9
105,강릉,1912-08-13,29.3,25.7,35.2
105,강릉,1912-08-14,27.2,23.9,33.2
105,강릉,1912-08-15,25.2,21.9,30.7
105,강릉,1912-08-16,24.5,22.2,29.2
105,강릉,1912-08-17,20.1,19,22.2
105,강릉,1912-08-18,19.8,18.4,22.1
105,강릉,1912-08-19,19,17.8,21.2
105,강릉,1912-08-20,20.6,17.9,22.7
105,강릉,1912-08-21,21.3,19.3,23.5
105,강릉,1912-08-22,22.6,19,26.7
105,강릉,1912-08-23,23.5,21.7,26.8
105,강릉,1912-08-24,22.6,19.9,27.7
105,강릉,1912-08-25,24,20,28.9
105,강릉,1912-08-26,23.1,20.5,26.5
105,강릉,1912-08-27,23.2,21,26.7
105,강릉,1912-08-28,22.8,20.7,25.8
105,강릉,1912-08-29,21.9,19,27.2
105,강릉,1912-08-30,21.4,18.1,27.5
105,강릉,1912-08-31,21.3,17,27.3
105,강릉,1912-09-01,22.7,17.9,30.1
105,강릉,1912-09-02,21.9,18.5,27.3
105,강릉,1912-09-03,24.1,17.6,30.8
105,강릉,1912-09-04,20.9,19.5,23
105,강릉,1912-09-05,20.5,19.5,21.8
105,강릉,1912-09-06,20.7,19.2,23.3
105,강릉,1912-09-07,20.9,18.6,25.6
105,강릉,1912-09-08,20.2,16.3,24.6
105,강릉,1912-09-09,20.4,17.6,25.4
105,강릉,1912-09-10,19,15,24.5
105,강릉,1912-09-11,16,12.6,22.2
105,강릉,1912-09-12,17.2,11.9,23.2
105,강릉,1912-09-13,18,14.2,22.9
105,강릉,1912-09-14,19,15.5,25.2
105,강릉,1912-09-15,18.9,14.7,23.4
105,강릉,1912-09-16,19,15.7,23.8
105,강릉,1912-09-17,18.1,14.4,22.8
105,강릉,1912-09-18,17.5,13.3,24.2
105,강릉,1912-09-19,16,11.1,22.6
105,강릉,1912-09-20,16.5,12.3,22.7
105,강릉,1912-09-21,19,11.4,25.3
105,강릉,1912-09-22,17.2,15.4,19.7
105,강릉,1912-09-23,18.8,13.7,24.5
105,강릉,1912-09-24,14.2,12.8,21.7
105,강릉,1912-09-25,15.2,11.3,21.4
105,강릉,1912-09-26,15.7,11.9,21.9
105,강릉,1912-09-27,15.2,11.4,21.1
105,강릉,1912-09-28,15.9,11.8,22.5
105,강릉,1912-09-29,16.6,13.2,22.5
105,강릉,1912-09-30,16.3,12.4,22.3
105,강릉,1912-10-01,17.6,13.2,23
105,강릉,1912-10-02,17.9,14.2,22.2
105,강릉,1912-10-03,18.4,15.8,20.8
105,강릉,1912-10-04,17.3,13.2,24.6
105,강릉,1912-10-05,16.2,12.7,21.7
105,강릉,1912-10-06,16.2,7.8,26.1
105,강릉,1912-10-07,10.8,5.4,16.5
105,강릉,1912-10-08,13.6,7.3,19.3
105,강릉,1912-10-09,12.8,8.3,18.6
105,강릉,1912-10-10,10.8,6.4,15.1
105,강릉,1912-10-11,11.1,7.9,16.8
105,강릉,1912-10-12,12.8,6.3,19.2
105,강릉,1912-10-13,14.3,9.3,20.1
105,강릉,1912-10-14,14.6,10,20.6
105,강릉,1912-10-15,15.4,11,19.9
105,강릉,1912-10-16,11.8,7.9,18.4
105,강릉,1912-10-17,12.3,7.3,19.9
105,강릉,1912-10-18,13.1,8.7,19.7
105,강릉,1912-10-19,14.1,8.3,21.1
105,강릉,1912-10-20,17.2,9.7,24.3
105,강릉,1912-10-21,13.7,9.4,16.6
105,강릉,1912-10-22,6.9,2.1,12
105,강릉,1912-10-23,8.9,2.3,14.1
105,강릉,1912-10-24,12.3,8.5,18.2
105,강릉,1912-10-25,15.9,6.5,23.3
105,강릉,1912-10-26,12,7.3,17.6
105,강릉,1912-10-27,15.7,5.2,23.3
105,강릉,1912-10-28,16,12.6,21.2
105,강릉,1912-10-29,11.7,7.7,16.1
105,강릉,1912-10-30,11.2,3.9,18.1
105,강릉,1912-10-31,12.8,8.8,19.2
105,강릉,1912-11-01,9.2,6.6,13.7
105,강릉,1912-11-02,10.2,6.8,15.1
105,강릉,1912-11-03,14.9,7.7,21.2
105,강릉,1912-11-04,18.3,12.7,23.5
105,강릉,1912-11-05,11.9,10.2,16.1
105,강릉,1912-11-06,4.8,.7,10.5
105,강릉,1912-11-07,3,-1.4,9.1
105,강릉,1912-11-08,1.9,-3.6,7.4
105,강릉,1912-11-09,4.3,.1,8.2
105,강릉,1912-11-10,6.3,2.8,9.8
105,강릉,1912-11-11,9.5,5.3,13.5
105,강릉,1912-11-12,9.1,4.5,13.4
105,강릉,1912-11-13,7.6,4.3,11.5
105,강릉,1912-11-14,3.2,-3.9,8.3
105,강릉,1912-11-15,-1.5,-6,4
105,강릉,1912-11-16,3.6,-2.3,9.3
105,강릉,1912-11-17,8.7,3.7,13.5
105,강릉,1912-11-18,9.4,5.6,13.6
105,강릉,1912-11-19,2.8,-1.1,6.3
105,강릉,1912-11-20,.4,-3.5,5.6
105,강릉,1912-11-21,3.5,-1.7,10.1
105,강릉,1912-11-22,5,.7,11.5
105,강릉,1912-11-23,8.2,3.2,14
105,강릉,1912-11-24,8.3,4,13.9
105,강릉,1912-11-25,3.3,-.2,9.6
105,강릉,1912-11-26,6.3,-.4,10.2
105,강릉,1912-11-27,4,1.7,10.1
105,강릉,1912-11-28,4.9,1.2,11.1
105,강릉,1912-11-29,2.7,-1.3,9.2
105,강릉,1912-11-30,3.8,-.2,9.2
105,강릉,1912-12-01,4.5,.8,9.3
105,강릉,1912-12-02,3.3,-.2,7.8
105,강릉,1912-12-03,4.2,1.2,8.7
105,강릉,1912-12-04,4.5,.8,9.1
105,강릉,1912-12-05,5.2,1,10.4
105,강릉,1912-12-06,4.6,.6,11
105,강릉,1912-12-07,4.8,-1.3,9.3
105,강릉,1912-12-08,-3.6,-6.6,.8
105,강릉,1912-12-09,-2.5,-5.7,3.8
105,강릉,1912-12-10,-1.4,-6.6,3.6
105,강릉,1912-12-11,3.9,-1.6,9.7
105,강릉,1912-12-12,5.2,1.4,10.8
105,강릉,1912-12-13,5.8,0,11.4
105,강릉,1912-12-14,5.5,2.9,9.2
105,강릉,1912-12-15,3.3,1.8,4.5
105,강릉,1912-12-16,2.2,0,6
105,강릉,1912-12-17,3.9,-1.4,8.6
105,강릉,1912-12-18,1.5,.6,4.9
105,강릉,1912-12-19,2.7,.6,4.6
105,강릉,1912-12-20,3.2,.5,7.6
105,강릉,1912-12-21,2.9,.2,6.1
105,강릉,1912-12-22,-.6,-6,5.3
105,강릉,1912-12-23,-8.3,-10.2,-6
105,강릉,1912-12-24,-5.5,-9.7,-2.2
105,강릉,1912-12-25,-1.8,-6.2,2.7
105,강릉,1912-12-26,-.9,-6,3.3
105,강릉,1912-12-27,1,-1.5,3.8
105,강릉,1912-12-28,.4,-1.7,2.3
105,강릉,1912-12-29,.8,-2.1,3.8
105,강릉,1912-12-30,2.1,-3,5.1
105,강릉,1912-12-31,-6,-9.3,-.5
105,강릉,1913-01-01,-3.6,-8,-.8
105,강릉,1913-01-02,2.3,-2,4.6
105,강릉,1913-01-03,4.8,2.5,7.9
105,강릉,1913-01-04,-3.4,-9.2,2.5
105,강릉,1913-01-05,-6,-9.7,-1.2
105,강릉,1913-01-06,-4,-7.3,-.5
105,강릉,1913-01-07,-.2,-3.9,3.7
105,강릉,1913-01-08,3.5,-.3,6.4
105,강릉,1913-01-09,4.4,1.2,7.3
105,강릉,1913-01-10,.4,-2.7,5.7
105,강릉,1913-01-11,-2.4,-6.9,2
105,강릉,1913-01-12,-6.9,-10.4,-2.9
105,강릉,1913-01-13,-6.3,-11.4,-1.3
105,강릉,1913-01-14,-4,-9,1.5
105,강릉,1913-01-15,1.1,-2.6,7.3
105,강릉,1913-01-16,2.2,-1.4,5.4
105,강릉,1913-01-17,2.7,.5,7.1
105,강릉,1913-01-18,-.1,-2.2,4.5
105,강릉,1913-01-19,.1,-4.6,4.8
105,강릉,1913-01-20,2.5,-1.3,7.7
105,강릉,1913-01-21,1.1,-.7,3.7
105,강릉,1913-01-22,.9,-.6,2.5
105,강릉,1913-01-23,-.4,-3.1,4.5
105,강릉,1913-01-24,-2.2,-6,2.2
105,강릉,1913-01-25,-4.7,-7.3,-3.6
105,강릉,1913-01-26,-4.1,-8,1.4
105,강릉,1913-01-27,-2.5,-7.1,1.6
105,강릉,1913-01-28,.3,-4.5,6.3
105,강릉,1913-01-29,-2.8,-8.3,3.1
105,강릉,1913-01-30,-5.6,-10.9,-.7
105,강릉,1913-01-31,-.3,-4.7,3.3
105,강릉,1913-02-01,1,-4.4,7.5
105,강릉,1913-02-02,3.1,.2,6.9
105,강릉,1913-02-03,2.7,-.5,5.7
105,강릉,1913-02-04,5,2.1,10.6
105,강릉,1913-02-05,5.4,1.6,9.4
105,강릉,1913-02-06,-2.9,-7.8,5.7
105,강릉,1913-02-07,-6.3,-10.8,-.1
105,강릉,1913-02-08,-7.7,-13.1,-2.2
105,강릉,1913-02-09,-11.4,-15.4,-6.9
105,강릉,1913-02-10,-10.6,-15.4,-7
105,강릉,1913-02-11,-2.7,-7.9,3.8
105,강릉,1913-02-12,.3,-3.8,4.5
105,강릉,1913-02-13,2.5,0,6
105,강릉,1913-02-14,2.2,-1.3,7.3
105,강릉,1913-02-15,2.7,-1.7,8.8
105,강릉,1913-02-16,1.1,-2,6.7
105,강릉,1913-02-17,1.4,-2.3,6.8
105,강릉,1913-02-18,5.8,-.6,10.2
105,강릉,1913-02-19,2.9,-.4,7.8
105,강릉,1913-02-20,5.8,-1.4,11.4
105,강릉,1913-02-21,10.2,4.1,16.1
105,강릉,1913-02-22,6.1,-.9,10.8
105,강릉,1913-02-23,-2.4,-6.6,3.1
105,강릉,1913-02-24,-.2,-4.3,5.8
105,강릉,1913-02-25,2.5,-.6,6.2
105,강릉,1913-02-26,-2.7,-6.4,1.9
105,강릉,1913-02-27,-3.2,-8.5,1.8
105,강릉,1913-02-28,-.8,-4.5,4.1
105,강릉,1913-03-01,-2,-5.5,2.7
105,강릉,1913-03-02,-.1,-5.9,6.1
105,강릉,1913-03-03,1.4,-3.2,6.7
105,강릉,1913-03-04,0,-3,4.9
105,강릉,1913-03-05,1.8,-4.5,6.4
105,강릉,1913-03-06,1.4,-2.1,4.9
105,강릉,1913-03-07,-2.7,-6.3,2.3
105,강릉,1913-03-08,-.7,-5.8,4.9
105,강릉,1913-03-09,-.5,-5.4,5.1
105,강릉,1913-03-10,1,-3.6,7.4
105,강릉,1913-03-11,.6,-3,6.5
105,강릉,1913-03-12,3.5,-1.7,9.2
105,강릉,1913-03-13,1.2,-2.2,7.4
105,강릉,1913-03-14,5.3,-1.2,11.9
105,강릉,1913-03-15,11.1,5.4,18.7
105,강릉,1913-03-16,7.7,3.2,13.3
105,강릉,1913-03-17,5.6,-.3,11
105,강릉,1913-03-18,6.4,2.7,9.4
105,강릉,1913-03-19,6.9,-.4,15.4
105,강릉,1913-03-20,9.9,4.2,15.5
105,강릉,1913-03-21,6.7,2.5,11.4
105,강릉,1913-03-22,2.1,-1.2,8.2
105,강릉,1913-03-23,2.3,-1.9,8.5
105,강릉,1913-03-24,4.3,-1.7,9.5
105,강릉,1913-03-25,3.1,2,9.5
105,강릉,1913-03-26,6.2,1.6,11.3
105,강릉,1913-03-27,7.8,4.2,15.4
105,강릉,1913-03-28,12.6,8.9,18.2
105,강릉,1913-03-29,9.4,4.5,16
105,강릉,1913-03-30,14.2,6.4,21.4
105,강릉,1913-03-31,18.3,13.5,25.4
105,강릉,1913-04-01,15.7,9.3,24.1
105,강릉,1913-04-02,8.7,4.9,14.6
105,강릉,1913-04-03,8.1,1.4,16.9
105,강릉,1913-04-04,14.6,3.9,25.3
105,강릉,1913-04-05,15.3,12.3,19.8
105,강릉,1913-04-06,17.6,14.5,22.3
105,강릉,1913-04-07,12.3,9.4,18.5
105,강릉,1913-04-08,6.5,5,9.4
105,강릉,1913-04-09,7.4,3.5,12.6
105,강릉,1913-04-10,6.1,-.1,15.4
105,강릉,1913-04-11,12.4,1.3,21.7
105,강릉,1913-04-12,11.1,6.7,15.6
105,강릉,1913-04-13,10,5,16.6
105,강릉,1913-04-14,11.6,5.7,18.7
105,강릉,1913-04-15,8.1,2.9,19.8
105,강릉,1913-04-16,10.6,5.9,17.7
105,강릉,1913-04-17,6.1,2.5,12
105,강릉,1913-04-18,7.1,-.7,16.7
105,강릉,1913-04-19,11.3,3.9,19
105,강릉,1913-04-20,12.4,6.4,18.3
105,강릉,1913-04-21,13.7,6.3,22.5
105,강릉,1913-04-22,11,9.6,13.1
105,강릉,1913-04-23,13.5,9.7,14.6
105,강릉,1913-04-24,16,11.8,23.5
105,강릉,1913-04-25,11.5,10.8,12.6
105,강릉,1913-04-26,11.5,8.1,15.7
105,강릉,1913-04-27,9.6,7.7,12.6
105,강릉,1913-04-28,14.4,7.5,19
105,강릉,1913-04-29,16.3,11.2,23.3
105,강릉,1913-04-30,16.4,11,23.3
105,강릉,1913-05-01,13.3,11.5,16.5
105,강릉,1913-05-02,10.6,8.1,12.2
105,강릉,1913-05-03,14.4,5.8,20.8
105,강릉,1913-05-04,19.3,15.1,26.2
105,강릉,1913-05-05,18.5,14.5,25
105,강릉,1913-05-06,21.1,15.2,27.6
105,강릉,1913-05-07,17.2,10.1,25.7
105,강릉,1913-05-08,11.2,9.5,13.7
105,강릉,1913-05-09,12.4,6.9,19.4
105,강릉,1913-05-10,13.5,6.3,17.3
105,강릉,1913-05-11,21,15.2,26.9
105,강릉,1913-05-12,15.9,12.5,19.7
105,강릉,1913-05-13,11.8,9.4,12.7
105,강릉,1913-05-14,11,6.6,15.6
105,강릉,1913-05-15,10.8,9.8,13.3
105,강릉,1913-05-16,11.5,9.7,15.4
105,강릉,1913-05-17,15.3,8.3,21.1
105,강릉,1913-05-18,14,10.4,18.5
105,강릉,1913-05-19,14.1,12.1,18.7
105,강릉,1913-05-20,12.5,8.8,19
105,강릉,1913-05-21,16.8,9.9,23.4
105,강릉,1913-05-22,19,13.4,26
105,강릉,1913-05-23,23.5,17.3,31.2
105,강릉,1913-05-24,16.8,14.6,22.9
105,강릉,1913-05-25,15.3,13.4,18.6
105,강릉,1913-05-26,16.2,12.7,20.1
105,강릉,1913-05-27,19.7,14.8,25.6
105,강릉,1913-05-28,22.8,17.3,29.7
105,강릉,1913-05-29,20.3,15.9,26
105,강릉,1913-05-30,18.2,13.5,24.3
105,강릉,1913-05-31,17,14.2,22.2
105,강릉,1913-06-01,21.7,11.5,27.9
105,강릉,1913-06-02,21.6,17.1,29.4
105,강릉,1913-06-03,18.7,15.9,24
105,강릉,1913-06-04,19.2,14.9,25.8
105,강릉,1913-06-05,17.1,14.3,21.7
105,강릉,1913-06-06,16.7,13.7,21.6
105,강릉,1913-06-07,17.7,13.7,24.4
105,강릉,1913-06-08,20.5,15.5,27.6
105,강릉,1913-06-09,18.9,15.2,24.7
105,강릉,1913-06-10,25.7,16.7,33.9
105,강릉,1913-06-11,25.1,21.3,31.5
105,강릉,1913-06-12,19.8,17.5,26.3
105,강릉,1913-06-13,18.4,16.7,22.7
105,강릉,1913-06-14,18.6,15.2,23.5
105,강릉,1913-06-15,18.9,14.8,23
105,강릉,1913-06-16,18.5,16.2,22.4
105,강릉,1913-06-17,18.3,15.1,24
105,강릉,1913-06-18,23,16.2,27.2
105,강릉,1913-06-19,24,19,30
105,강릉,1913-06-20,22,15.9,27.9
105,강릉,1913-06-21,22,19.6,26.7
105,강릉,1913-06-22,22.8,18.8,29.7
105,강릉,1913-06-23,20.4,16.9,24.8
105,강릉,1913-06-24,18.3,16.9,20.5
105,강릉,1913-06-25,17.1,15.5,20
105,강릉,1913-06-26,19,13.2,25.9
105,강릉,1913-06-27,19.4,16.2,25.3
105,강릉,1913-06-28,18.5,15.9,22.8
105,강릉,1913-06-29,23.6,18.1,28.4
105,강릉,1913-06-30,21.6,16.8,27.5
105,강릉,1913-07-01,25.9,20.6,31.2
105,강릉,1913-07-02,21.9,19.6,24.5
105,강릉,1913-07-03,19.3,17.8,21.8
105,강릉,1913-07-04,23,18.6,27.5
105,강릉,1913-07-05,23.5,18.2,29.4
105,강릉,1913-07-06,21.2,18.3,27.4
105,강릉,1913-07-07,16,15.3,18.4
105,강릉,1913-07-08,15.9,12.7,20.5
105,강릉,1913-07-09,17,11.3,22.6
105,강릉,1913-07-10,19.4,13.7,26.8
