ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â(¡ÆC)
105,°­¸ª,1921-01-01,4.9,.2,7.7
105,°­¸ª,1921-01-02,2.6,-.1,6.4
105,°­¸ª,1921-01-03,-.2,-4.2,4.5
105,°­¸ª,1921-01-04,-2.7,-7.2,2.3
105,°­¸ª,1921-01-05,.3,-5,3.5
105,°­¸ª,1921-01-06,.2,-4.3,3.7
105,°­¸ª,1921-01-07,-1.1,-4.7,3.9
105,°­¸ª,1921-01-08,-2.2,-5,2.2
105,°­¸ª,1921-01-09,-1.6,-7.7,5.3
105,°­¸ª,1921-01-10,1,-3.3,3.6
105,°­¸ª,1921-01-11,-1.1,-5.7,2.4
105,°­¸ª,1921-01-12,-2.9,-7.2,1.9
105,°­¸ª,1921-01-13,-.9,-4.1,1.8
105,°­¸ª,1921-01-14,-3.2,-5.7,-.4
105,°­¸ª,1921-01-15,-.1,-5.8,3
105,°­¸ª,1921-01-16,2.7,-.5,6.4
105,°­¸ª,1921-01-17,2.6,-1.1,7.1
105,°­¸ª,1921-01-18,5.3,-1.2,10
105,°­¸ª,1921-01-19,5.2,2.3,8.3
105,°­¸ª,1921-01-20,3.8,-1.3,6.4
105,°­¸ª,1921-01-21,1.8,-3.8,6.4
105,°­¸ª,1921-01-22,-1.2,-6.9,2.4
105,°­¸ª,1921-01-23,2.7,-2.3,7.2
105,°­¸ª,1921-01-24,5.8,1.9,10.1
105,°­¸ª,1921-01-25,7.2,4.3,12
105,°­¸ª,1921-01-26,2,.4,5.4
105,°­¸ª,1921-01-27,4.6,-.5,8
105,°­¸ª,1921-01-28,1.5,.2,5.9
105,°­¸ª,1921-01-29,1.1,-1.7,5.5
105,°­¸ª,1921-01-30,-.9,-4.1,1.6
105,°­¸ª,1921-01-31,5.5,-1.3,9.5
105,°­¸ª,1921-02-01,4.1,1.4,7.8
105,°­¸ª,1921-02-02,-1.3,-3.9,2.4
105,°­¸ª,1921-02-03,-.9,-4.2,.4
105,°­¸ª,1921-02-04,-.9,-4.4,3.4
105,°­¸ª,1921-02-05,-1.5,-5.2,3
105,°­¸ª,1921-02-06,-1.3,-6,4.5
105,°­¸ª,1921-02-07,.2,-4.8,5.7
105,°­¸ª,1921-02-08,1,-3,7.4
105,°­¸ª,1921-02-09,1.5,-3.7,7.5
105,°­¸ª,1921-02-10,4,-1,9.9
105,°­¸ª,1921-02-11,3.6,.6,6.5
105,°­¸ª,1921-02-12,3.3,.5,7.8
105,°­¸ª,1921-02-13,4.6,-.2,8
105,°­¸ª,1921-02-14,3.6,-.1,8.8
105,°­¸ª,1921-02-15,2.5,-2.3,10
105,°­¸ª,1921-02-16,3.8,-.7,10.2
105,°­¸ª,1921-02-17,-4.1,-7.4,.4
105,°­¸ª,1921-02-18,-2.7,-7.6,2.2
105,°­¸ª,1921-02-19,.2,-3.9,5.2
105,°­¸ª,1921-02-20,-1.6,-5.7,3.2
105,°­¸ª,1921-02-21,-1,-4,4.5
105,°­¸ª,1921-02-22,-1.3,-6.6,4.6
105,°­¸ª,1921-02-23,.3,-5.1,4.8
105,°­¸ª,1921-02-24,2,-1.1,4.3
