지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C)
105,강릉,1951-09-01,24.6,19.1,29.8
105,강릉,1951-09-02,24.7,19.7,30
105,강릉,1951-09-03,21.8,18.3,26.3
105,강릉,1951-09-04,22.7,17.5,28.5
105,강릉,1951-09-05,21.7,19.2,26.9
105,강릉,1951-09-06,19.7,15.3,26.7
105,강릉,1951-09-07,19.5,12,23.8
105,강릉,1951-09-08,20.4,16.7,22.7
105,강릉,1951-09-09,20.5,19.5,25.8
105,강릉,1951-09-10,20.2,17.3,25.6
105,강릉,1951-09-11,19,15.5,24.6
105,강릉,1951-09-12,20.3,15.5,27
105,강릉,1951-09-13,17.2,13.3,23.2
105,강릉,1951-09-14,17.6,13.7,22.3
105,강릉,1951-09-15,20.3,15.1,26.1
105,강릉,1951-09-16,19,15.1,24.5
105,강릉,1951-09-17,19.6,17.2,24.3
105,강릉,1951-09-18,20,15,27.8
105,강릉,1951-09-19,16.4,12.2,21.7
105,강릉,1951-09-20,15.9,11.3,21.7
105,강릉,1951-09-21,19,13.2,24.1
105,강릉,1951-09-22,20.2,17.6,25.7
105,강릉,1951-09-23,19.4,12.1,26.9
105,강릉,1951-09-24,18.6,15.7,24.5
105,강릉,1951-09-25,19.5,15.5,26.7
105,강릉,1951-09-26,18.1,13.9,23.1
105,강릉,1951-09-27,18.6,13.8,23.1
105,강릉,1951-09-28,17.3,12.4,23.7
105,강릉,1951-09-29,16.2,14.1,19.4
105,강릉,1951-09-30,19.1,13.8,24.2
105,강릉,1951-10-01,15.6,11.3,21.8
105,강릉,1951-10-02,14.9,10.9,21
105,강릉,1951-10-03,13.6,10.3,21
105,강릉,1951-10-04,18.8,9.2,26.6
105,강릉,1951-10-05,15.5,12.9,20.3
105,강릉,1951-10-06,16.2,10.6,23.9
105,강릉,1951-10-07,19,14.3,25.5
105,강릉,1951-10-08,20.3,14.4,27.2
105,강릉,1951-10-09,20.2,16.9,27.2
105,강릉,1951-10-10,16.9,11.2,20.7
105,강릉,1951-10-11,19.1,11.2,28.9
105,강릉,1951-10-12,16.2,13.7,18.9
105,강릉,1951-10-13,14.9,13.3,16.9
105,강릉,1951-10-14,14.4,13.5,17.2
105,강릉,1951-10-15,15.1,13.2,19.9
105,강릉,1951-10-16,16.1,13.2,25.2
105,강릉,1951-10-17,15.5,10.5,22.3
105,강릉,1951-10-18,16.3,12.9,25.5
